source_host,method,sparsity_rate,exact_match_rate,top3_accuracy,top5_accuracy,median_distance,mean_belief_true,n_withheld
h22,Last_Seen,0.8,0.76,0.0,0.0,0.0,0.0,5.0
h22,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h22,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,2.0
h22,Most_Connected,0.6,0.0,0.0,0.0,1.0,0.0,4.0
h22,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,5.0
h22,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h22,Random,0.4,0.1,0.0,0.0,3.5,0.0,2.0
h22,Random,0.6,0.0,0.0,0.0,2.5,0.0,4.0
h22,Random,0.8,0.0,0.0,0.0,2.0,0.0,5.0
h22,Static_TAG,0.2,0.0,0.0,0.0,2.0,0.0107,1.0
h22,Static_TAG,0.4,0.0,0.0,0.0,50.5,0.0016,2.0
h22,Static_TAG,0.6,0.0,0.0,0.05,1.0,0.0092,4.0
h22,Static_TAG,0.8,0.0,0.0,0.16,1.0,0.0131,5.0
h22,TAG_Forward,0.2,0.8,0.8,0.8,0.0,0.219,1.0
h22,TAG_Forward,0.4,0.7,0.7,0.7,1.5,0.2582,2.0
h22,TAG_Forward,0.6,0.65,0.65,0.65,0.0,0.1761,4.0
h22,TAG_Forward,0.8,0.6,0.6,0.6,0.0,0.1332,5.0
h28,Last_Seen,0.2,1.0,0.0,0.0,0.0,0.0,1.0
h28,Last_Seen,0.4,1.0,0.0,0.0,0.0,0.0,1.0
h28,Last_Seen,0.6,1.0,0.0,0.0,0.0,0.0,1.0
h28,Last_Seen,0.8,1.0,0.0,0.0,0.0,0.0,2.0
h28,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h28,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h28,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,1.0
h28,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,2.0
h28,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h28,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h28,Random,0.6,0.0,0.0,0.0,4.0,0.0,1.0
h28,Random,0.8,0.0,0.0,0.0,2.5,0.0,2.0
h28,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0016,1.0
h28,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0016,1.0
h28,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0015,1.0
h28,Static_TAG,0.8,0.0,0.0,0.0,1.5,0.0024,2.0
h28,TAG_Forward,0.2,1.0,1.0,1.0,0.0,0.5553,1.0
h28,TAG_Forward,0.4,1.0,1.0,1.0,0.0,0.5553,1.0
h28,TAG_Forward,0.6,1.0,1.0,1.0,0.0,0.5446,1.0
h28,TAG_Forward,0.8,1.0,1.0,1.0,0.0,0.4246,2.0
h3,Last_Seen,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h3,Last_Seen,0.4,0.4,0.0,0.0,2.0,0.0,2.0
h3,Last_Seen,0.6,0.1333,0.0,0.0,3.0,0.0,3.0
h3,Last_Seen,0.8,0.2,0.0,0.0,4.0,0.0,4.0
h3,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h3,Most_Connected,0.4,0.0,0.0,0.0,2.5,0.0,2.0
h3,Most_Connected,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h3,Most_Connected,0.8,0.0,0.0,0.0,3.0,0.0,4.0
h3,Random,0.2,0.0,0.0,0.0,7.0,0.0,1.0
h3,Random,0.4,0.0,0.0,0.0,3.0,0.0,2.0
h3,Random,0.6,0.0,0.0,0.0,7.0,0.0,3.0
h3,Random,0.8,0.0,0.0,0.0,6.5,0.0,4.0
h3,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0067,1.0
h3,Static_TAG,0.4,0.0,0.0,0.0,50.5,0.0061,2.0
h3,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0056,3.0
h3,Static_TAG,0.8,0.0,0.0,0.0,50.5,0.0058,4.0
h3,TAG_Forward,0.2,0.0,0.0,0.0,3.0,0.0053,1.0
h3,TAG_Forward,0.4,0.0,0.0,0.0,4.5,0.006,2.0
h3,TAG_Forward,0.6,0.0,0.0,0.0,4.0,0.0047,3.0
h3,TAG_Forward,0.8,0.0,0.0,0.0,5.5,0.0067,4.0
h4,Last_Seen,0.2,0.0,0.0,0.0,7.0,0.0,1.0
h4,Last_Seen,0.4,0.0,0.0,0.0,100.0,0.0,1.0
h4,Last_Seen,0.6,0.0,0.0,0.0,52.0,0.0,2.0
h4,Last_Seen,0.8,0.0,0.0,0.0,4.0,0.0,3.0
h4,Most_Connected,0.2,0.0,0.0,0.0,5.0,0.0,1.0
h4,Most_Connected,0.4,0.0,0.0,0.0,5.0,0.0,1.0
h4,Most_Connected,0.6,0.0,0.0,0.0,4.0,0.0,2.0
h4,Most_Connected,0.8,0.0,0.0,0.0,5.0,0.0,3.0
h4,Random,0.2,0.0,0.0,0.0,6.0,0.0,1.0
h4,Random,0.4,0.2,0.0,0.0,2.0,0.0,1.0
h4,Random,0.6,0.0,0.0,0.0,4.0,0.0,2.0
h4,Random,0.8,0.0,0.0,0.0,5.0,0.0,3.0
h4,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.008,1.0
h4,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.0079,1.0
h4,Static_TAG,0.6,0.0,0.0,0.0,50.5,0.0076,2.0
h4,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0111,3.0
h4,TAG_Forward,0.2,0.0,0.0,0.0,5.0,0.008,1.0
h4,TAG_Forward,0.4,0.0,0.0,0.0,5.0,0.0076,1.0
h4,TAG_Forward,0.6,0.0,0.0,0.0,4.5,0.0075,2.0
h4,TAG_Forward,0.8,0.0,0.0,0.0,5.0,0.0113,3.0
h40,Last_Seen,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h40,Last_Seen,0.4,0.6,0.0,0.0,0.0,0.0,1.0
h40,Last_Seen,0.6,0.2,0.0,0.0,1.0,0.0,1.0
h40,Last_Seen,0.8,0.0,0.0,0.0,1.0,0.0,2.0
h40,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h40,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h40,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,1.0
h40,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,2.0
h40,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h40,Random,0.4,0.0,0.0,0.0,4.0,0.0,1.0
h40,Random,0.6,0.2,0.0,0.0,4.0,0.0,1.0
h40,Random,0.8,0.0,0.0,0.0,3.5,0.0,2.0
h40,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0579,1.0
h40,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0236,1.0
h40,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0465,1.0
h40,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0321,2.0
h40,TAG_Forward,0.2,0.0,0.0,0.0,1.0,0.0361,1.0
h40,TAG_Forward,0.4,0.6,0.6,0.6,0.0,0.3372,1.0
h40,TAG_Forward,0.6,0.2,0.2,0.2,1.0,0.1365,1.0
h40,TAG_Forward,0.8,0.0,0.0,0.0,1.0,0.0367,2.0
h5,Last_Seen,0.2,0.1,0.0,0.0,3.5,0.0,8.0
h5,Last_Seen,0.4,0.1059,0.0,0.0,3.0,0.0,17.0
h5,Last_Seen,0.6,0.1846,0.0,0.0,2.5,0.0,26.0
h5,Last_Seen,0.8,0.1143,0.0,0.0,6.0,0.0,35.0
h5,Most_Connected,0.2,0.0,0.0,0.0,3.5,0.0,8.0
h5,Most_Connected,0.4,0.0,0.0,0.0,3.0,0.0,17.0
h5,Most_Connected,0.6,0.0,0.0,0.0,4.0,0.0,26.0
h5,Most_Connected,0.8,0.0,0.0,0.0,3.0,0.0,35.0
h5,Random,0.2,0.0,0.0,0.0,4.5,0.0,8.0
h5,Random,0.4,0.0,0.0,0.0,7.0,0.0,17.0
h5,Random,0.6,0.0077,0.0,0.0,4.0,0.0,26.0
h5,Random,0.8,0.0,0.0,0.0,5.0,0.0,35.0
h5,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0185,8.0
h5,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.023,17.0
h5,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0139,26.0
h5,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0125,35.0
h5,TAG_Forward,0.2,0.075,0.125,0.125,3.5,0.0276,8.0
h5,TAG_Forward,0.4,0.0588,0.0823,0.0941,4.0,0.0285,17.0
h5,TAG_Forward,0.6,0.0692,0.0846,0.1077,4.0,0.0288,26.0
h5,TAG_Forward,0.8,0.0229,0.0229,0.0286,5.0,0.0178,35.0
h53,Last_Seen,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h53,Last_Seen,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h53,Last_Seen,0.6,0.1,0.0,0.0,3.0,0.0,2.0
h53,Last_Seen,0.8,0.0,0.0,0.0,3.0,0.0,3.0
h53,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h53,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h53,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,2.0
h53,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,3.0
h53,Random,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h53,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h53,Random,0.6,0.1,0.0,0.0,2.5,0.0,2.0
h53,Random,0.8,0.0667,0.0,0.0,3.0,0.0,3.0
h53,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0016,1.0
h53,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0024,1.0
h53,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0027,2.0
h53,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0039,3.0
h53,TAG_Forward,0.2,0.0,0.8,0.8,4.0,0.0526,1.0
h53,TAG_Forward,0.4,0.0,0.2,0.2,3.0,0.0142,1.0
h53,TAG_Forward,0.6,0.0,0.1,0.1,3.0,0.0152,2.0
h53,TAG_Forward,0.8,0.0,0.0,0.0,3.0,0.0022,3.0
h58,Last_Seen,0.2,1.0,0.0,0.0,0.0,0.0,1.0
h58,Last_Seen,0.4,0.6,0.0,0.0,2.5,0.0,2.0
h58,Last_Seen,0.6,0.3333,0.0,0.0,5.0,0.0,3.0
h58,Last_Seen,0.8,0.0,0.0,0.0,5.0,0.0,4.0
h58,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h58,Most_Connected,0.4,0.0,0.0,0.0,1.0,0.0,2.0
h58,Most_Connected,0.6,0.0,0.0,0.0,1.0,0.0,3.0
h58,Most_Connected,0.8,0.0,0.0,0.0,1.0,0.0,4.0
h58,Random,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h58,Random,0.4,0.0,0.0,0.0,2.5,0.0,2.0
h58,Random,0.6,0.0,0.0,0.0,2.0,0.0,3.0
h58,Random,0.8,0.0,0.0,0.0,2.5,0.0,4.0
h58,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0067,1.0
h58,Static_TAG,0.4,0.0,0.0,0.1,1.0,0.0134,2.0
h58,Static_TAG,0.6,0.0,0.0,0.0667,1.0,0.0119,3.0
h58,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0143,4.0
h58,TAG_Forward,0.2,1.0,1.0,1.0,0.0,0.3765,1.0
h58,TAG_Forward,0.4,0.6,0.6,0.6,2.0,0.1807,2.0
h58,TAG_Forward,0.6,0.3333,0.3333,0.3333,4.0,0.0912,3.0
h58,TAG_Forward,0.8,0.0,0.0,0.0,4.0,0.0116,4.0
h59,Last_Seen,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h59,Last_Seen,0.4,0.0,0.0,0.0,4.0,0.0,1.0
h59,Last_Seen,0.6,0.0,0.0,0.0,4.0,0.0,1.0
h59,Last_Seen,0.8,0.5,0.0,0.0,2.0,0.0,2.0
h59,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h59,Most_Connected,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h59,Most_Connected,0.6,0.0,0.0,0.0,3.0,0.0,1.0
h59,Most_Connected,0.8,0.0,0.0,0.0,2.5,0.0,2.0
h59,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h59,Random,0.4,0.0,0.0,0.0,4.0,0.0,1.0
h59,Random,0.6,0.0,0.0,0.0,100.0,0.0,1.0
h59,Random,0.8,0.0,0.0,0.0,51.0,0.0,2.0
h59,Static_TAG,0.2,0.0,0.0,0.0,2.0,0.0045,1.0
h59,Static_TAG,0.4,0.0,0.0,0.0,100.0,0.0032,1.0
h59,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0032,1.0
h59,Static_TAG,0.8,0.0,0.0,0.0,51.0,0.003,2.0
h59,TAG_Forward,0.2,0.6,0.6,0.6,0.0,0.2236,1.0
h59,TAG_Forward,0.4,0.4,0.4,0.4,4.0,0.1491,1.0
h59,TAG_Forward,0.6,0.4,0.4,0.4,4.0,0.1491,1.0
h59,TAG_Forward,0.8,0.5,0.5,0.5,2.0,0.2344,2.0
h6,Last_Seen,0.2,0.4,0.0,0.0,3.0,0.0,1.0
h6,Last_Seen,0.4,0.2,0.0,0.0,51.5,0.0,2.0
h6,Last_Seen,0.6,0.0,0.0,0.0,3.0,0.0,3.0
h6,Last_Seen,0.8,0.0,0.0,0.0,100.0,0.0,4.0
h6,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h6,Most_Connected,0.4,0.0,0.0,0.0,50.5,0.0,2.0
h6,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,3.0
h6,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,4.0
h6,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h6,Random,0.4,0.0,0.0,0.0,51.0,0.0,2.0
h6,Random,0.6,0.0,0.0,0.0,100.0,0.0,3.0
h6,Random,0.8,0.0,0.0,0.0,51.5,0.0,4.0
h6,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0042,1.0
h6,Static_TAG,0.4,0.0,0.0,0.0,50.5,0.0056,2.0
h6,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0051,3.0
h6,Static_TAG,0.8,0.0,0.0,0.0,100.0,0.0064,4.0
h6,TAG_Forward,0.2,0.0,0.0,0.0,100.0,0.003,1.0
h6,TAG_Forward,0.4,0.0,0.0,0.0,51.5,0.0048,2.0
h6,TAG_Forward,0.6,0.0,0.0,0.0,100.0,0.0031,3.0
h6,TAG_Forward,0.8,0.0,0.0,0.0,100.0,0.0028,4.0
h65,Last_Seen,0.2,0.4,0.0,0.0,3.0,0.0,1.0
h65,Last_Seen,0.4,0.2,0.0,0.0,3.0,0.0,1.0
h65,Last_Seen,0.6,0.8,0.0,0.0,0.0,0.0,1.0
h65,Last_Seen,0.8,0.0,0.0,0.0,3.0,0.0,2.0
h65,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h65,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h65,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,1.0
h65,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,2.0
h65,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h65,Random,0.4,0.2,0.0,0.0,2.0,0.0,1.0
h65,Random,0.6,0.0,0.0,0.0,2.0,0.0,1.0
h65,Random,0.8,0.0,0.0,0.0,4.0,0.0,2.0
h65,Static_TAG,0.2,0.0,0.0,0.0,1.0,0.0017,1.0
h65,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.001,1.0
h65,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0029,1.0
h65,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0025,2.0
h65,TAG_Forward,0.2,0.4,0.4,0.4,3.0,0.0918,1.0
h65,TAG_Forward,0.4,0.2,0.2,0.2,3.0,0.0463,1.0
h65,TAG_Forward,0.6,0.8,0.8,0.8,0.0,0.1827,1.0
h65,TAG_Forward,0.8,0.0,0.0,0.0,3.0,0.0019,2.0
h66,Last_Seen,0.2,0.4,0.0,0.0,4.0,0.0,1.0
h66,Last_Seen,0.4,0.6,0.0,0.0,0.0,0.0,1.0
h66,Last_Seen,0.6,0.4,0.0,0.0,4.0,0.0,1.0
h66,Last_Seen,0.8,0.5,0.0,0.0,2.0,0.0,2.0
h66,Most_Connected,0.2,0.0,0.0,0.0,3.0,0.0,1.0
h66,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,1.0
h66,Most_Connected,0.6,0.0,0.0,0.0,3.0,0.0,1.0
h66,Most_Connected,0.8,0.0,0.0,0.0,2.5,0.0,2.0
h66,Random,0.2,0.0,0.0,0.0,4.0,0.0,1.0
h66,Random,0.4,0.0,0.0,0.0,3.0,0.0,1.0
h66,Random,0.6,0.0,0.0,0.0,4.0,0.0,1.0
h66,Random,0.8,0.1,0.0,0.0,52.0,0.0,2.0
h66,Static_TAG,0.2,0.0,0.0,0.0,100.0,0.0022,1.0
h66,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0021,1.0
h66,Static_TAG,0.6,0.0,0.0,0.0,100.0,0.0022,1.0
h66,Static_TAG,0.8,0.0,0.0,0.0,50.5,0.0043,2.0
h66,TAG_Forward,0.2,0.4,0.4,0.4,4.0,0.2614,1.0
h66,TAG_Forward,0.4,0.6,0.6,0.6,0.0,0.3922,1.0
h66,TAG_Forward,0.6,0.4,0.4,0.4,4.0,0.2614,1.0
h66,TAG_Forward,0.8,0.5,0.5,0.5,2.0,0.3279,2.0
h7,Last_Seen,0.2,0.6,0.0,0.0,0.0,0.0,1.0
h7,Last_Seen,0.4,0.6,0.0,0.0,0.0,0.0,1.0
h7,Last_Seen,0.6,0.2,0.0,0.0,3.0,0.0,2.0
h7,Last_Seen,0.8,0.0,0.0,0.0,4.0,0.0,3.0
h7,Most_Connected,0.2,0.0,0.0,0.0,1.0,0.0,1.0
